,Experiment,Level,algorithm,SSM
0,Exp_0_12_300,0,Natural,0.8438999086420373
1,Exp_0_12_300,1,Natural,0.0943697476487082
2,Exp_0_12_300,2,Natural,3.3285185629665574e-05
3,Exp_0_12_300,3,Natural,0.0018343903818686
4,Exp_0_12_300,4,Natural,0.0017927226006927
0,Exp_0_31_300,0,Natural,0.8739138227304863
1,Exp_0_31_300,1,Natural,0.0002247973416702
2,Exp_0_31_300,2,Natural,0.0026522344556169
3,Exp_0_31_300,3,Natural,2.8178464389009703e-05
4,Exp_0_31_300,4,Natural,0.0030772683595482
0,Exp_0_10_300,0,Natural,0.8513324514684659
1,Exp_0_10_300,1,Natural,0.0
2,Exp_0_10_300,2,Natural,0.0002413443086347
3,Exp_0_10_300,3,Natural,5.470091660310667e-05
4,Exp_0_10_300,4,Natural,0.004064264461967
0,Exp_1_7_300,0,Natural,0.837049859854496
1,Exp_1_7_300,1,Natural,0.0030360761169037
2,Exp_1_7_300,2,Natural,8.779374524664076e-05
3,Exp_1_7_300,3,Natural,0.000125948293162
4,Exp_1_7_300,4,Natural,0.0010938087177138
0,Exp_1_11_300,0,Natural,0.8155808687549779
1,Exp_1_11_300,1,Natural,0.0048286244146348
2,Exp_1_11_300,2,Natural,2.710979695611767e-07
3,Exp_1_11_300,3,Natural,0.0002591154458744
4,Exp_1_11_300,4,Natural,0.0050430462649853
0,Exp_0_24_300,0,Natural,0.7642816423300588
1,Exp_0_24_300,1,Natural,0.0011193589184165
2,Exp_0_24_300,2,Natural,0.000339068379952
3,Exp_0_24_300,3,Natural,0.0003556623290026
4,Exp_0_24_300,4,Natural,0.0044094267543284
0,Exp_0_20_300,0,Natural,0.8058185409644607
1,Exp_0_20_300,1,Natural,0.0001679352973003
2,Exp_0_20_300,2,Natural,1.1553140075302222e-05
3,Exp_0_20_300,3,Natural,0.0003912665294452
4,Exp_0_20_300,4,Natural,0.0003599284945148
0,Exp_0_29_300,0,Natural,0.8365122149913273
1,Exp_0_29_300,1,Natural,0.0
2,Exp_0_29_300,2,Natural,5.510878243441813e-05
3,Exp_0_29_300,3,Natural,0.0001179156767541
4,Exp_0_29_300,4,Natural,0.0007526829566039
0,Exp_1_10_300,0,Natural,0.8496525636093285
1,Exp_1_10_300,1,Natural,0.3159518141811107
2,Exp_1_10_300,2,Natural,5.399352314582346e-05
3,Exp_1_10_300,3,Natural,0.0004269854193025
4,Exp_1_10_300,4,Natural,0.0007221876288158
0,Exp_0_17_300,0,Natural,0.7672623539034225
1,Exp_0_17_300,1,Natural,5.331566558665621e-05
2,Exp_0_17_300,2,Natural,2.0947926988553475e-05
3,Exp_0_17_300,3,Natural,0.0094235280006746
4,Exp_0_17_300,4,Natural,0.000214455832742
0,Exp_1_14_300,0,Natural,0.7998199761813627
1,Exp_1_14_300,1,Natural,0.0011388398747897
2,Exp_1_14_300,2,Natural,0.0004694164670501
3,Exp_1_14_300,3,Natural,0.0364632672592015
4,Exp_1_14_300,4,Natural,0.030713153408483
0,Exp_1_3_300,0,Natural,0.7751041524632414
1,Exp_1_3_300,1,Natural,0.0001286702687649
2,Exp_1_3_300,2,Natural,2.057859429824681e-05
3,Exp_1_3_300,3,Natural,0.0020466262791809
4,Exp_1_3_300,4,Natural,0.0002013414466028
0,Exp_0_7_300,0,Natural,0.7829023872782892
1,Exp_0_7_300,1,Natural,0.001004827806625
2,Exp_0_7_300,2,Natural,1.3417019561549412e-05
3,Exp_0_7_300,3,Natural,0.0134146855984413
4,Exp_0_7_300,4,Natural,0.0190334953222418
0,Exp_1_15_300,0,Natural,0.8299379923881419
1,Exp_1_15_300,1,Natural,0.0012931400079962
2,Exp_1_15_300,2,Natural,0.0006741433209353
3,Exp_1_15_300,3,Natural,0.0019061079281528
4,Exp_1_15_300,4,Natural,0.0007862741663919
0,Exp_0_8_300,0,Natural,0.8213697473134288
1,Exp_0_8_300,1,Natural,3.0038213890804647e-05
2,Exp_0_8_300,2,Natural,0.003944456491354
3,Exp_0_8_300,3,Natural,0.0014901849256249
4,Exp_0_8_300,4,Natural,0.0015869818357523
0,Exp_0_14_300,0,Natural,0.8087783664934342
1,Exp_0_14_300,1,Natural,5.602374741395701e-05
2,Exp_0_14_300,2,Natural,0.0017193754943821
3,Exp_0_14_300,3,Natural,0.0004634350741975
4,Exp_0_14_300,4,Natural,0.0010654661438359
0,Exp_0_19_300,0,Natural,0.7962012206829091
1,Exp_0_19_300,1,Natural,3.2736522158662994e-05
2,Exp_0_19_300,2,Natural,0.0020526432942715
3,Exp_0_19_300,3,Natural,0.0002223789133649
4,Exp_0_19_300,4,Natural,0.0002470013177014
0,Exp_1_5_300,0,Natural,0.7258220435177303
1,Exp_1_5_300,1,Natural,0.0001703174317126
2,Exp_1_5_300,2,Natural,0.003604315706253
3,Exp_1_5_300,3,Natural,0.0001804665905462
4,Exp_1_5_300,4,Natural,0.0016962594318982
0,Exp_1_6_300,0,Natural,0.8403600496453317
1,Exp_1_6_300,1,Natural,0.7911072862133389
2,Exp_1_6_300,2,Natural,0.0025424325791505
3,Exp_1_6_300,3,Natural,0.000377720369322
4,Exp_1_6_300,4,Natural,0.0034751197574257
0,Exp_0_25_300,0,Natural,0.8236231848212643
1,Exp_0_25_300,1,Natural,1.4717530551725087e-06
2,Exp_0_25_300,2,Natural,2.7784871219387726e-05
3,Exp_0_25_300,3,Natural,0.0006401110786556
4,Exp_0_25_300,4,Natural,0.0010474018973274
0,Exp_0_28_300,0,Natural,0.8285763402532085
1,Exp_0_28_300,1,Natural,0.4296876786685074
2,Exp_0_28_300,2,Natural,0.0047133776602797
3,Exp_0_28_300,3,Natural,0.0034675320856357
4,Exp_0_28_300,4,Natural,0.0022164961587351
0,Exp_1_13_300,0,Natural,0.7797421910513779
1,Exp_1_13_300,1,Natural,2.044834042284107e-06
2,Exp_1_13_300,2,Natural,2.0772705854663904e-10
3,Exp_1_13_300,3,Natural,1.0973150298639047e-09
4,Exp_1_13_300,4,Natural,2.618832656409517e-07
0,Exp_1_4_300,0,Natural,0.7519897914356714
1,Exp_1_4_300,1,Natural,1.616274884034069e-05
2,Exp_1_4_300,2,Natural,3.075089922641105e-06
3,Exp_1_4_300,3,Natural,0.0003260925137928
4,Exp_1_4_300,4,Natural,0.002297375645268
0,Exp_0_1_300,0,Natural,0.7704475330830455
1,Exp_0_1_300,1,Natural,0.0060070155315268
2,Exp_0_1_300,2,Natural,1.3640069319557154e-06
3,Exp_0_1_300,3,Natural,3.44892328358339e-05
4,Exp_0_1_300,4,Natural,0.0013378495883771
0,Exp_0_11_300,0,Natural,0.8483163362310278
1,Exp_0_11_300,1,Natural,0.0005778525441626
2,Exp_0_11_300,2,Natural,0.0004440548007922
3,Exp_0_11_300,3,Natural,0.0001638485383938
4,Exp_0_11_300,4,Natural,0.0032048180946551
0,Exp_1_8_300,0,Natural,0.7768065942359205
1,Exp_1_8_300,1,Natural,1.1659250917322731e-05
2,Exp_1_8_300,2,Natural,1.790369519860127e-06
3,Exp_1_8_300,3,Natural,0.0009507314330308
4,Exp_1_8_300,4,Natural,0.0003144884245103
0,Exp_0_27_300,0,Natural,0.8079512366272505
1,Exp_0_27_300,1,Natural,0.6888060403399653
2,Exp_0_27_300,2,Natural,9.233093005050133e-05
3,Exp_0_27_300,3,Natural,0.0002351504742496
4,Exp_0_27_300,4,Natural,0.0085348470401462
0,Exp_1_2_300,0,Natural,0.7491220602960534
1,Exp_1_2_300,1,Natural,0.0002439612979817
2,Exp_1_2_300,2,Natural,9.91717865245544e-05
3,Exp_1_2_300,3,Natural,7.49548612309376e-05
4,Exp_1_2_300,4,Natural,0.0034541245519229
0,Exp_0_3_300,0,Natural,0.7687842231870592
1,Exp_0_3_300,1,Natural,0.0005902958863373
2,Exp_0_3_300,2,Natural,0.0002399339046627
3,Exp_0_3_300,3,Natural,0.0007532107797728
4,Exp_0_3_300,4,Natural,0.0006368273060646
0,Exp_0_26_300,0,Natural,0.7474304640028242
1,Exp_0_26_300,1,Natural,2.1712536832791234e-05
2,Exp_0_26_300,2,Natural,0.0001825039241057
3,Exp_0_26_300,3,Natural,1.2071715069957563e-05
4,Exp_0_26_300,4,Natural,0.0001835352933767
0,Exp_1_16_300,0,Natural,0.7875996849279631
1,Exp_1_16_300,1,Natural,0.0017642085087116
2,Exp_1_16_300,2,Natural,0.0023881938318739
3,Exp_1_16_300,3,Natural,0.0018047374229907
4,Exp_1_16_300,4,Natural,0.0005730540185135
0,Exp_1_1_300,0,Natural,0.8643880906818582
1,Exp_1_1_300,1,Natural,0.0022531380924291
2,Exp_1_1_300,2,Natural,2.3699016188134334e-06
3,Exp_1_1_300,3,Natural,0.000571329826768
4,Exp_1_1_300,4,Natural,0.000663870049676
0,Exp_0_13_300,0,Natural,0.88908332087438
1,Exp_0_13_300,1,Natural,4.421862738466842e-05
2,Exp_0_13_300,2,Natural,7.923115407462278e-06
3,Exp_0_13_300,3,Natural,0.004522535512102
4,Exp_0_13_300,4,Natural,0.0014674510412182
0,Exp_1_17_300,0,Natural,0.8272817034748223
1,Exp_1_17_300,1,Natural,0.0008446374925945
2,Exp_1_17_300,2,Natural,2.1059565506570807e-05
3,Exp_1_17_300,3,Natural,3.1342328941928084e-05
4,Exp_1_17_300,4,Natural,0.0004204380172401
0,Exp_1_12_300,0,Natural,0.7587014584794708
1,Exp_1_12_300,1,Natural,0.0007217743116233
2,Exp_1_12_300,2,Natural,0.0002106782104616
3,Exp_1_12_300,3,Natural,5.637188329546037e-06
4,Exp_1_12_300,4,Natural,0.0027593734571867
0,Exp_0_6_300,0,Natural,0.8152197827647387
1,Exp_0_6_300,1,Natural,0.0
2,Exp_0_6_300,2,Natural,0.0006108598979469
3,Exp_0_6_300,3,Natural,2.4711555624974908e-09
4,Exp_0_6_300,4,Natural,0.0002487072944831
0,Exp_0_23_300,0,Natural,0.8245615959936999
1,Exp_0_23_300,1,Natural,3.204136713820493e-05
2,Exp_0_23_300,2,Natural,0.000643801052759
3,Exp_0_23_300,3,Natural,9.42412253213057e-05
4,Exp_0_23_300,4,Natural,0.0011993076787207
0,Exp_1_9_300,0,Natural,0.8006518610063184
1,Exp_1_9_300,1,Natural,0.0012508197418234
2,Exp_1_9_300,2,Natural,8.467030521004269e-05
3,Exp_1_9_300,3,Natural,0.069290067702069
4,Exp_1_9_300,4,Natural,0.0317766791410106
0,Exp_0_5_300,0,Natural,0.7681529125553704
1,Exp_0_5_300,1,Natural,0.000164483018926
2,Exp_0_5_300,2,Natural,1.0104347435180663e-06
3,Exp_0_5_300,3,Natural,0.0010782387950822
4,Exp_0_5_300,4,Natural,0.0027889614385139
0,Exp_0_9_300,0,Natural,0.8238280863922879
1,Exp_0_9_300,1,Natural,0.0077496067343709
2,Exp_0_9_300,2,Natural,0.0003705000401692
3,Exp_0_9_300,3,Natural,0.0001203416912448
4,Exp_0_9_300,4,Natural,0.0008356381287996
0,Exp_0_16_300,0,Natural,0.7792229995094043
1,Exp_0_16_300,1,Natural,0.0725191823014875
2,Exp_0_16_300,2,Natural,0.0104248690926508
3,Exp_0_16_300,3,Natural,0.0178641976448006
4,Exp_0_16_300,4,Natural,0.0087441972246592
0,Exp_0_4_300,0,Natural,0.7398926125725716
1,Exp_0_4_300,1,Natural,0.0002216269680463
2,Exp_0_4_300,2,Natural,0.0004377468355448
3,Exp_0_4_300,3,Natural,0.0028859661182252
4,Exp_0_4_300,4,Natural,0.0006070706473327
0,Exp_0_21_300,0,Natural,0.8315146559730211
1,Exp_0_21_300,1,Natural,0.8018970716224134
2,Exp_0_21_300,2,Natural,0.0003085028992696
3,Exp_0_21_300,3,Natural,0.0001384427815414
4,Exp_0_21_300,4,Natural,0.0007849411352472
0,Exp_0_0_300,0,Natural,0.7789318651114822
1,Exp_0_0_300,1,Natural,1.4997908924507008e-05
2,Exp_0_0_300,2,Natural,3.4279338730709546e-05
3,Exp_0_0_300,3,Natural,0.0001559081047887
4,Exp_0_0_300,4,Natural,0.0005087801551351
0,Exp_0_18_300,0,Natural,0.7560408201397666
1,Exp_0_18_300,1,Natural,5.682427488586408e-05
2,Exp_0_18_300,2,Natural,3.7433449700602156e-07
3,Exp_0_18_300,3,Natural,0.0008782627624627
4,Exp_0_18_300,4,Natural,0.0017693271069601
0,Exp_0_15_300,0,Natural,0.8275765187144498
1,Exp_0_15_300,1,Natural,9.242759535654872e-08
2,Exp_0_15_300,2,Natural,8.530056920064911e-05
3,Exp_0_15_300,3,Natural,0.0003116721886372
4,Exp_0_15_300,4,Natural,0.0010826789538352
0,Exp_0_32_300,0,Natural,0.8165969843292386
1,Exp_0_32_300,1,Natural,0.0050108536151184
2,Exp_0_32_300,2,Natural,1.8020935636062124e-05
3,Exp_0_32_300,3,Natural,0.000566751717133
4,Exp_0_32_300,4,Natural,0.007483454108544
0,Exp_0_2_300,0,Natural,0.8391630628055428
1,Exp_0_2_300,1,Natural,0.0002263409965175
2,Exp_0_2_300,2,Natural,0.0014901566405607
3,Exp_0_2_300,3,Natural,0.0001067190896711
4,Exp_0_2_300,4,Natural,0.0005424648644176
0,Exp_1_0_300,0,Natural,0.7762402671847527
1,Exp_1_0_300,1,Natural,0.000421571150169
2,Exp_1_0_300,2,Natural,0.0003002628883187
3,Exp_1_0_300,3,Natural,0.0091377038424893
4,Exp_1_0_300,4,Natural,0.0074093616716674
0,Exp_0_22_300,0,Natural,0.7260770594641149
1,Exp_0_22_300,1,Natural,0.0001093031519906
2,Exp_0_22_300,2,Natural,1.8343369170163047e-05
3,Exp_0_22_300,3,Natural,0.0010726930950823
4,Exp_0_22_300,4,Natural,0.0015810213483607
0,Exp_0_30_300,0,Natural,0.8081776286406065
1,Exp_0_30_300,1,Natural,0.0005862174051038
2,Exp_0_30_300,2,Natural,2.40024369003436e-05
3,Exp_0_30_300,3,Natural,0.00023429045836
4,Exp_0_30_300,4,Natural,0.0032352866032041
0,Exp_4_9_400,0,Natural,0.7265360443990835
1,Exp_4_9_400,1,Natural,0.0007195673513171
2,Exp_4_9_400,2,Natural,0.0001388773924569
3,Exp_4_9_400,3,Natural,5.011165240727173e-05
4,Exp_4_9_400,4,Natural,0.0025988282604105
0,Exp_2_0_400,0,Natural,0.8469768689901468
1,Exp_2_0_400,1,Natural,0.0025100795110751
2,Exp_2_0_400,2,Natural,0.0001624525202348
3,Exp_2_0_400,3,Natural,0.0049606359271668
4,Exp_2_0_400,4,Natural,0.0055338811414632
0,Exp_0_10_400,0,Natural,0.838835960429739
1,Exp_0_10_400,1,Natural,3.172741663639803e-08
2,Exp_0_10_400,2,Natural,0.0019078282459329
3,Exp_0_10_400,3,Natural,5.836226108379573e-05
4,Exp_0_10_400,4,Natural,0.0004145218319617
0,Exp_2_2_400,0,Natural,0.814560462650676
1,Exp_2_2_400,1,Natural,5.121563721843627e-06
2,Exp_2_2_400,2,Natural,0.0011753320578504
3,Exp_2_2_400,3,Natural,0.0008288591122982
4,Exp_2_2_400,4,Natural,0.0004778689364608
0,Exp_1_7_400,0,Natural,0.7949430887101743
1,Exp_1_7_400,1,Natural,2.239080633044671e-06
2,Exp_1_7_400,2,Natural,0.0001121271027364
3,Exp_1_7_400,3,Natural,3.0304299076212356e-05
4,Exp_1_7_400,4,Natural,0.0007815855207468
0,Exp_4_0_400,0,Natural,0.7864785876517326
1,Exp_4_0_400,1,Natural,3.323824506830589e-05
2,Exp_4_0_400,2,Natural,2.6173373126553948e-05
3,Exp_4_0_400,3,Natural,0.0004364249781852
4,Exp_4_0_400,4,Natural,0.0003123516836093
0,Exp_1_11_400,0,Natural,0.7837083048527342
1,Exp_1_11_400,1,Natural,0.0041171870395915
2,Exp_1_11_400,2,Natural,0.0031089578848203
3,Exp_1_11_400,3,Natural,0.0002960730668074
4,Exp_1_11_400,4,Natural,0.0107082281951887
0,Exp_3_4_400,0,Natural,0.8007328253609297
1,Exp_3_4_400,1,Natural,1.446183050968173e-07
2,Exp_3_4_400,2,Natural,0.0008512950928198
3,Exp_3_4_400,3,Natural,0.0004064934686885
4,Exp_3_4_400,4,Natural,0.0009160643953818
0,Exp_4_12_400,0,Natural,0.7798573911765134
1,Exp_4_12_400,1,Natural,0.0007462390444224
2,Exp_4_12_400,2,Natural,3.565858200717868e-05
3,Exp_4_12_400,3,Natural,0.0001060262243537
4,Exp_4_12_400,4,Natural,0.0003559436294061
0,Exp_4_1_400,0,Natural,0.7499467430581831
1,Exp_4_1_400,1,Natural,0.0001026744717529
2,Exp_4_1_400,2,Natural,0.0002386723869919
3,Exp_4_1_400,3,Natural,0.0001937223944245
4,Exp_4_1_400,4,Natural,0.0140377996101652
0,Exp_2_6_400,0,Natural,0.7723756328250366
1,Exp_2_6_400,1,Natural,4.83380600054403e-05
2,Exp_2_6_400,2,Natural,0.0009129743587
3,Exp_2_6_400,3,Natural,0.0009824031575623
4,Exp_2_6_400,4,Natural,0.0015732020254036
0,Exp_1_10_400,0,Natural,0.8333681800868341
1,Exp_1_10_400,1,Natural,0.0002230044377486
2,Exp_1_10_400,2,Natural,1.9514485704898527e-08
3,Exp_1_10_400,3,Natural,0.000844677170157
4,Exp_1_10_400,4,Natural,0.0004299170848105
0,Exp_2_10_400,0,Natural,0.8525179295240062
1,Exp_2_10_400,1,Natural,5.02816350532399e-06
2,Exp_2_10_400,2,Natural,2.0559716405342775e-05
3,Exp_2_10_400,3,Natural,0.0001753468825477
4,Exp_2_10_400,4,Natural,0.0009161677001807
0,Exp_3_7_400,0,Natural,0.8382739129814912
1,Exp_3_7_400,1,Natural,0.3010186560385338
2,Exp_3_7_400,2,Natural,0.0200769887642049
3,Exp_3_7_400,3,Natural,0.0041621005070062
4,Exp_3_7_400,4,Natural,0.0027304952568582
0,Exp_1_3_400,0,Natural,0.7798700715561265
1,Exp_1_3_400,1,Natural,0.0005265147344626
2,Exp_1_3_400,2,Natural,1.55253363435087e-05
3,Exp_1_3_400,3,Natural,0.0001448355415405
4,Exp_1_3_400,4,Natural,0.0027478701358167
0,Exp_0_7_400,0,Natural,0.8046382711943069
1,Exp_0_7_400,1,Natural,0.0033180867580606
2,Exp_0_7_400,2,Natural,0.0006880674668927
3,Exp_0_7_400,3,Natural,0.0004814270229871
