,Experiment,Clus_size,algorithm,NMI
0,Exp_6_300,300,Natural_C,0.5230773945509279
1,Exp_15_300,300,Natural_C,0.5530353421799803
2,Exp_22_300,300,Natural_C,0.4301145539167327
3,Exp_19_300,300,Natural_C,0.42770426387140814
4,Exp_2_300,300,Natural_C,0.5141067321293129
5,Exp_27_300,300,Natural_C,0.48374272860189693
6,Exp_34_300,300,Natural_C,0.43334663968859616
7,Exp_3_300,300,Natural_C,0.4512847031826785
8,Exp_28_300,300,Natural_C,0.35047247512190943
9,Exp_14_300,300,Natural_C,0.43749828816221953
10,Exp_30_300,300,Natural_C,0.43981625462289514
11,Exp_5_300,300,Natural_C,0.5264869482966399
12,Exp_25_300,300,Natural_C,0.39654425227402595
13,Exp_32_300,300,Natural_C,0.4297555835948487
14,Exp_26_300,300,Natural_C,0.47699347030809475
15,Exp_9_300,300,Natural_C,0.4234454764286983
16,Exp_16_300,300,Natural_C,0.4709713788256193
17,Exp_20_300,300,Natural_C,0.43871017103214216
18,Exp_12_300,300,Natural_C,0.40461269679031503
19,Exp_33_300,300,Natural_C,0.45270194719442536
20,Exp_8_300,300,Natural_C,0.41323654739698645
21,Exp_10_300,300,Natural_C,0.4796758619797879
22,Exp_21_300,300,Natural_C,0.4607800466140701
23,Exp_31_300,300,Natural_C,0.4836388928574481
24,Exp_1_300,300,Natural_C,0.4583658617081906
25,Exp_29_300,300,Natural_C,0.4942510336394533
26,Exp_13_300,300,Natural_C,0.5624209472752392
27,Exp_17_300,300,Natural_C,0.38799323214573095
28,Exp_18_300,300,Natural_C,0.4604916725965041
29,Exp_11_300,300,Natural_C,0.4749817255205506
30,Exp_23_300,300,Natural_C,0.6537069829810211
31,Exp_0_300,300,Natural_C,0.40193195933147136
32,Exp_7_300,300,Natural_C,0.5064079161833553
33,Exp_24_300,300,Natural_C,0.4834784442152674
34,Exp_4_300,300,Natural_C,0.4876312435511719
35,Exp_6_400,400,Natural_C,0.5521937158832255
36,Exp_15_400,400,Natural_C,0.4770182025830959
37,Exp_22_400,400,Natural_C,0.5406291568630641
38,Exp_19_400,400,Natural_C,0.5121516821728882
39,Exp_2_400,400,Natural_C,0.49619470200094395
40,Exp_27_400,400,Natural_C,0.6031484125711236
41,Exp_34_400,400,Natural_C,0.5547775329189817
42,Exp_3_400,400,Natural_C,0.46993610944243225
43,Exp_28_400,400,Natural_C,0.5199544413010715
44,Exp_14_400,400,Natural_C,0.43071596707571186
45,Exp_30_400,400,Natural_C,0.4038826431151746
46,Exp_5_400,400,Natural_C,0.6181529751172911
47,Exp_25_400,400,Natural_C,0.4816471212617818
48,Exp_32_400,400,Natural_C,0.4704061480178375
49,Exp_26_400,400,Natural_C,0.47017584276313196
50,Exp_9_400,400,Natural_C,0.6238073527397947
51,Exp_16_400,400,Natural_C,0.6297500950383533
52,Exp_20_400,400,Natural_C,0.6068245017332592
53,Exp_12_400,400,Natural_C,0.6154515129854117
54,Exp_33_400,400,Natural_C,0.466740998187806
55,Exp_8_400,400,Natural_C,0.4932321335304715
56,Exp_10_400,400,Natural_C,0.4654576013163898
57,Exp_21_400,400,Natural_C,0.45458949041842595
58,Exp_31_400,400,Natural_C,0.4682402442349888
59,Exp_1_400,400,Natural_C,0.5167738296764063
60,Exp_29_400,400,Natural_C,0.48081623467368895
61,Exp_13_400,400,Natural_C,0.41530538746916845
62,Exp_17_400,400,Natural_C,0.5477355568117043
63,Exp_18_400,400,Natural_C,0.5931669373626248
64,Exp_11_400,400,Natural_C,0.5963270623827454
65,Exp_23_400,400,Natural_C,0.4241342018690972
66,Exp_0_400,400,Natural_C,0.501338543021278
67,Exp_7_400,400,Natural_C,0.5071400068003837
68,Exp_24_400,400,Natural_C,0.4286327417727086
69,Exp_4_400,400,Natural_C,0.47199303695760536
70,Exp_6_500,500,Natural_C,0.4904959843589718
71,Exp_15_500,500,Natural_C,0.4213440816451769
72,Exp_22_500,500,Natural_C,0.49257702419598903
73,Exp_19_500,500,Natural_C,0.5389337960416885
74,Exp_2_500,500,Natural_C,0.5210492262663977
75,Exp_27_500,500,Natural_C,0.4834758181760316
76,Exp_34_500,500,Natural_C,0.4918373724885267
77,Exp_3_500,500,Natural_C,0.5299334624877207
78,Exp_28_500,500,Natural_C,0.44659083224337637
79,Exp_14_500,500,Natural_C,0.5221833830416928
80,Exp_30_500,500,Natural_C,0.5702297370308859
81,Exp_5_500,500,Natural_C,0.4920201500142133
82,Exp_25_500,500,Natural_C,0.4971467563690667
83,Exp_32_500,500,Natural_C,0.4496610631409452
84,Exp_26_500,500,Natural_C,0.5430556791366378
85,Exp_9_500,500,Natural_C,0.3942784987953335
86,Exp_16_500,500,Natural_C,0.4737364497200977
87,Exp_20_500,500,Natural_C,0.6403458497336392
88,Exp_12_500,500,Natural_C,0.5492607041785759
89,Exp_33_500,500,Natural_C,0.5465791219340834
90,Exp_8_500,500,Natural_C,0.3923135462569751
91,Exp_10_500,500,Natural_C,0.5583772501066352
92,Exp_21_500,500,Natural_C,0.5248266607862146
93,Exp_31_500,500,Natural_C,0.48935103696645116
94,Exp_1_500,500,Natural_C,0.5348165171483042
95,Exp_29_500,500,Natural_C,0.5204778783813943
96,Exp_13_500,500,Natural_C,0.3722486096031614
97,Exp_17_500,500,Natural_C,0.4832675019360429
98,Exp_18_500,500,Natural_C,0.4905722147308567
99,Exp_11_500,500,Natural_C,0.43538038717941124
100,Exp_23_500,500,Natural_C,0.4288467841942698
101,Exp_0_500,500,Natural_C,0.4806851737370352
102,Exp_7_500,500,Natural_C,0.4925937435143045
103,Exp_24_500,500,Natural_C,0.42282091109750264
104,Exp_4_500,500,Natural_C,0.5181665322728951
0,Exp_6_300,300,DBSCAN,0.30867850570434546
1,Exp_15_300,300,DBSCAN,0.7235000557465082
2,Exp_22_300,300,DBSCAN,0.39517349974993327
3,Exp_19_300,300,DBSCAN,0.35242330709756325
4,Exp_2_300,300,DBSCAN,0.27236640274752083
5,Exp_27_300,300,DBSCAN,0.33901182239651456
6,Exp_34_300,300,DBSCAN,0.35167503635283
7,Exp_3_300,300,DBSCAN,0.5203858673610375
8,Exp_28_300,300,DBSCAN,0.6340373363591
9,Exp_14_300,300,DBSCAN,0.5125063293132022
10,Exp_30_300,300,DBSCAN,0.2614650196536891
11,Exp_5_300,300,DBSCAN,0.6897866555746217
12,Exp_25_300,300,DBSCAN,0.5101412114320472
13,Exp_32_300,300,DBSCAN,0.3646601045410021
14,Exp_26_300,300,DBSCAN,0.34442176958564474
15,Exp_9_300,300,DBSCAN,0.42980615184807763
16,Exp_16_300,300,DBSCAN,0.1696356397768828
17,Exp_20_300,300,DBSCAN,0.43932256455065555
18,Exp_12_300,300,DBSCAN,0.35058791317757
19,Exp_33_300,300,DBSCAN,0.6711479178727298
20,Exp_8_300,300,DBSCAN,0.11203147773621366
21,Exp_10_300,300,DBSCAN,0.25869029362953844
22,Exp_21_300,300,DBSCAN,0.6034284909693267
23,Exp_31_300,300,DBSCAN,0.5161691512134935
24,Exp_1_300,300,DBSCAN,0.47309191319864424
25,Exp_29_300,300,DBSCAN,0.285456334544828
26,Exp_13_300,300,DBSCAN,0.31126001943259496
27,Exp_17_300,300,DBSCAN,0.42165531638420295
28,Exp_18_300,300,DBSCAN,0.5857309718317381
29,Exp_11_300,300,DBSCAN,0.464073164177145
30,Exp_23_300,300,DBSCAN,0.5838635634634907
31,Exp_0_300,300,DBSCAN,0.45834431104722434
32,Exp_7_300,300,DBSCAN,0.4385790496794452
33,Exp_24_300,300,DBSCAN,0.6130285324015687
34,Exp_4_300,300,DBSCAN,0.5137207935171365
35,Exp_6_400,400,DBSCAN,0.5802749486788293
36,Exp_15_400,400,DBSCAN,0.2679819044230482
37,Exp_22_400,400,DBSCAN,0.49232320122949075
38,Exp_19_400,400,DBSCAN,0.4359416716310694
39,Exp_2_400,400,DBSCAN,0.6372712966554704
40,Exp_27_400,400,DBSCAN,0.3902174889646339
41,Exp_34_400,400,DBSCAN,0.6561042791756886
42,Exp_3_400,400,DBSCAN,0.21687824083507104
43,Exp_28_400,400,DBSCAN,0.44659126712842256
44,Exp_14_400,400,DBSCAN,0.5278120508973746
45,Exp_30_400,400,DBSCAN,0.36012888842721946
46,Exp_5_400,400,DBSCAN,0.6576582521159517
47,Exp_25_400,400,DBSCAN,0.5493718429964076
48,Exp_32_400,400,DBSCAN,0.3985787385613733
49,Exp_26_400,400,DBSCAN,0.2735568643373393
50,Exp_9_400,400,DBSCAN,0.5949743941600648
51,Exp_16_400,400,DBSCAN,0.6579006243712678
52,Exp_20_400,400,DBSCAN,0.5985523204101797
53,Exp_12_400,400,DBSCAN,0.4494813036566181
54,Exp_33_400,400,DBSCAN,0.6521033735211852
55,Exp_8_400,400,DBSCAN,0.5630963166756553
56,Exp_10_400,400,DBSCAN,0.32956188956675564
57,Exp_21_400,400,DBSCAN,0.46608113979343213
58,Exp_31_400,400,DBSCAN,0.3183120382874358
59,Exp_1_400,400,DBSCAN,0.44035350315746125
60,Exp_29_400,400,DBSCAN,0.388780241169243
61,Exp_13_400,400,DBSCAN,0.32781381669304605
62,Exp_17_400,400,DBSCAN,0.5213336199752597
63,Exp_18_400,400,DBSCAN,0.6778993328585442
64,Exp_11_400,400,DBSCAN,0.5410234936528823
65,Exp_23_400,400,DBSCAN,0.22061813081126527
66,Exp_0_400,400,DBSCAN,0.4139516504729988
67,Exp_7_400,400,DBSCAN,0.40618579791140164
68,Exp_24_400,400,DBSCAN,0.5042327568846081
69,Exp_4_400,400,DBSCAN,0.39581897504703834
70,Exp_6_500,500,DBSCAN,0.31934269198709175
71,Exp_15_500,500,DBSCAN,0.248761929992344
72,Exp_22_500,500,DBSCAN,0.5785005189740188
73,Exp_19_500,500,DBSCAN,0.6568863124228266
74,Exp_2_500,500,DBSCAN,0.48336591280450036
75,Exp_27_500,500,DBSCAN,0.3187953289249396
76,Exp_34_500,500,DBSCAN,0.48985427291433364
77,Exp_3_500,500,DBSCAN,0.6317968563685361
78,Exp_28_500,500,DBSCAN,0.5776258020340683
79,Exp_14_500,500,DBSCAN,0.5878599548960309
