,Experiment,Clus_size,algorithm,NMI
0,Exp_0_23_300,300,Natural_C,0.43887656271132547
1,Exp_0_32_300,300,Natural_C,0.5560690452789427
2,Exp_0_0_300,300,Natural_C,0.4468997229101655
3,Exp_1_6_300,300,Natural_C,0.585844033295964
4,Exp_0_10_300,300,Natural_C,0.4726138230848937
5,Exp_0_14_300,300,Natural_C,0.3988496366054838
6,Exp_1_13_300,300,Natural_C,0.4426960567106033
7,Exp_0_4_300,300,Natural_C,0.45404175946063585
8,Exp_0_27_300,300,Natural_C,0.46879924699308373
9,Exp_1_8_300,300,Natural_C,0.44453788222109614
10,Exp_0_24_300,300,Natural_C,0.4740782993165828
11,Exp_1_2_300,300,Natural_C,0.37339867444860314
12,Exp_0_17_300,300,Natural_C,0.43818956525112923
13,Exp_0_18_300,300,Natural_C,0.419846967054133
14,Exp_0_29_300,300,Natural_C,0.5010356233045716
15,Exp_0_13_300,300,Natural_C,0.43214368455925295
16,Exp_0_6_300,300,Natural_C,0.47607563582242773
17,Exp_0_3_300,300,Natural_C,0.48469543671950005
18,Exp_1_10_300,300,Natural_C,0.40590160353984506
19,Exp_0_12_300,300,Natural_C,0.4301188600607372
20,Exp_0_22_300,300,Natural_C,0.3676569539062755
21,Exp_0_19_300,300,Natural_C,0.3850926040228761
22,Exp_0_21_300,300,Natural_C,0.5701432585671556
23,Exp_0_28_300,300,Natural_C,0.3971568149089637
24,Exp_0_7_300,300,Natural_C,0.40898486298623044
25,Exp_0_31_300,300,Natural_C,0.4107950225375417
26,Exp_1_11_300,300,Natural_C,0.39519197317357546
27,Exp_0_1_300,300,Natural_C,0.42802309404686484
28,Exp_1_16_300,300,Natural_C,0.4347215125625265
29,Exp_1_14_300,300,Natural_C,0.41147584787503344
30,Exp_1_4_300,300,Natural_C,0.4004963334132972
31,Exp_0_25_300,300,Natural_C,0.46485382816369436
32,Exp_0_11_300,300,Natural_C,0.38743731736559067
33,Exp_1_17_300,300,Natural_C,0.4097116573161943
34,Exp_1_0_300,300,Natural_C,0.4241811383098622
35,Exp_0_8_300,300,Natural_C,0.4050193317620493
36,Exp_0_15_300,300,Natural_C,0.43672172765026257
37,Exp_1_7_300,300,Natural_C,0.4344045728071381
38,Exp_0_20_300,300,Natural_C,0.5050574500886896
39,Exp_1_1_300,300,Natural_C,0.41802307483192275
40,Exp_0_30_300,300,Natural_C,0.45226886150774365
41,Exp_0_5_300,300,Natural_C,0.4086174759449456
42,Exp_1_15_300,300,Natural_C,0.42875229681461857
43,Exp_1_9_300,300,Natural_C,0.44216611995009497
44,Exp_1_5_300,300,Natural_C,0.443681203726772
45,Exp_0_9_300,300,Natural_C,0.41906593386045704
46,Exp_0_16_300,300,Natural_C,0.37474972628381903
47,Exp_0_2_300,300,Natural_C,0.4240839878783344
48,Exp_1_3_300,300,Natural_C,0.4020139567825166
49,Exp_1_12_300,300,Natural_C,0.41225383601564636
50,Exp_0_26_300,300,Natural_C,0.4003802570876482
51,Exp_4_2_400,400,Natural_C,0.44007319858288785
52,Exp_3_6_400,400,Natural_C,0.3902270843679862
53,Exp_2_8_400,400,Natural_C,0.421194884387912
54,Exp_0_0_400,400,Natural_C,0.44477899725133974
55,Exp_1_6_400,400,Natural_C,0.4045152226281957
56,Exp_2_7_400,400,Natural_C,0.49578164947582354
57,Exp_2_10_400,400,Natural_C,0.4991638696167029
58,Exp_0_10_400,400,Natural_C,0.44142977644130205
59,Exp_0_4_400,400,Natural_C,0.5146784010984184
60,Exp_3_0_400,400,Natural_C,0.4438414342171824
61,Exp_4_9_400,400,Natural_C,0.4261706739995147
62,Exp_4_0_400,400,Natural_C,0.4155878978130132
63,Exp_2_9_400,400,Natural_C,0.41314003283181294
64,Exp_1_8_400,400,Natural_C,0.38038696644939923
65,Exp_2_1_400,400,Natural_C,0.39768579989670994
66,Exp_1_2_400,400,Natural_C,0.4465022127337993
67,Exp_3_7_400,400,Natural_C,0.45223447761769814
68,Exp_4_7_400,400,Natural_C,0.4406834250530626
69,Exp_2_0_400,400,Natural_C,0.49567123660762374
70,Exp_0_6_400,400,Natural_C,0.42501494267168355
71,Exp_0_3_400,400,Natural_C,0.42275108535925265
72,Exp_1_10_400,400,Natural_C,0.4055958702609869
73,Exp_4_5_400,400,Natural_C,0.42989623177882297
74,Exp_4_11_400,400,Natural_C,0.4451596886868945
75,Exp_0_7_400,400,Natural_C,0.40962075857582136
76,Exp_1_11_400,400,Natural_C,0.39346592659295365
77,Exp_0_1_400,400,Natural_C,0.5105980067856224
78,Exp_3_2_400,400,Natural_C,0.4228716983335317
79,Exp_1_4_400,400,Natural_C,0.48820988200855664
80,Exp_3_1_400,400,Natural_C,0.4428129725689575
81,Exp_4_12_400,400,Natural_C,0.45131953294574234
82,Exp_4_6_400,400,Natural_C,0.3912224645216358
83,Exp_2_3_400,400,Natural_C,0.4143653402392752
84,Exp_1_0_400,400,Natural_C,0.41147743172612383
85,Exp_0_8_400,400,Natural_C,0.49239078664036806
86,Exp_1_7_400,400,Natural_C,0.462636727756153
87,Exp_2_5_400,400,Natural_C,0.4048723368010397
88,Exp_4_13_400,400,Natural_C,0.4539168834110239
89,Exp_4_3_400,400,Natural_C,0.4999258694092498
90,Exp_1_1_400,400,Natural_C,0.4469935169331621
91,Exp_3_4_400,400,Natural_C,0.39597103214426493
92,Exp_4_1_400,400,Natural_C,0.4507946496103592
93,Exp_4_10_400,400,Natural_C,0.4825451966355946
94,Exp_4_8_400,400,Natural_C,0.4854507702564568
95,Exp_3_5_400,400,Natural_C,0.4175068255179544
96,Exp_4_4_400,400,Natural_C,0.5167025482127842
97,Exp_2_6_400,400,Natural_C,0.43477985029704264
98,Exp_0_5_400,400,Natural_C,0.42645406346335735
99,Exp_0_9_400,400,Natural_C,0.4095742306721761
100,Exp_1_9_400,400,Natural_C,0.44869396981928866
101,Exp_1_5_400,400,Natural_C,0.4349497252020107
102,Exp_0_2_400,400,Natural_C,0.3937406850273101
103,Exp_2_4_400,400,Natural_C,0.5031878040128749
104,Exp_2_2_400,400,Natural_C,0.42897802297256166
105,Exp_1_3_400,400,Natural_C,0.39174310026328274
106,Exp_3_3_400,400,Natural_C,0.49435621387291995
107,Exp_4_2_500,500,Natural_C,0.510291387434479
108,Exp_3_8_500,500,Natural_C,0.3675689156857068
109,Exp_5_2_500,500,Natural_C,0.3944906886155307
110,Exp_5_13_500,500,Natural_C,0.4330276033522732
111,Exp_3_10_500,500,Natural_C,0.4088737818779205
112,Exp_0_2_3_500,500,Natural_C,0.39193939408326556
113,Exp_0_0_500,500,Natural_C,0.46170688442747004
114,Exp_0_2_5_500,500,Natural_C,0.4500355776017666
115,Exp_3_6_500,500,Natural_C,0.5694842943063813
116,Exp_0_2_7_500,500,Natural_C,0.3691035843438431
117,Exp_5_6_500,500,Natural_C,0.4379481783420068
118,Exp_0_2_1_500,500,Natural_C,0.45186054747417254
119,Exp_5_1_500,500,Natural_C,0.46287878830531876
120,Exp_3_0_500,500,Natural_C,0.4117731379520057
121,Exp_4_0_500,500,Natural_C,0.40820999794360074
122,Exp_5_12_500,500,Natural_C,0.4133241772936256
123,Exp_5_16_500,500,Natural_C,0.37856393336706756
124,Exp_0_2_4_500,500,Natural_C,0.3965961344980216
125,Exp_3_7_500,500,Natural_C,0.3706603387456291
