,Experiment,Clus_size,algorithm,NMI
0,Exp_34_300,300,Natural_C,0.5495517031965906
1,Exp_33_300,300,Natural_C,0.5416165591478663
2,Exp_31_300,300,Natural_C,0.6249528976142257
3,Exp_32_300,300,Natural_C,0.4829060842232521
4,Exp_20_300,300,Natural_C,0.583047377399922
5,Exp_6_300,300,Natural_C,0.5878658480811421
6,Exp_26_300,300,Natural_C,0.5388990905835576
7,Exp_19_300,300,Natural_C,0.5095607022531218
8,Exp_24_300,300,Natural_C,0.5036306746134622
9,Exp_16_300,300,Natural_C,0.4752945393427986
10,Exp_29_300,300,Natural_C,0.6959947014194374
11,Exp_12_300,300,Natural_C,0.505297968098489
12,Exp_2_300,300,Natural_C,0.578772155259548
13,Exp_9_300,300,Natural_C,0.5672879513885335
14,Exp_5_300,300,Natural_C,0.6621427000245977
15,Exp_10_300,300,Natural_C,0.645494628902749
16,Exp_3_300,300,Natural_C,0.5148517765880033
17,Exp_17_300,300,Natural_C,0.5678338062499235
18,Exp_18_300,300,Natural_C,0.48868936623912673
19,Exp_0_300,300,Natural_C,0.7090802139081
20,Exp_7_300,300,Natural_C,0.5246378394207518
21,Exp_28_300,300,Natural_C,0.5094373667858364
22,Exp_27_300,300,Natural_C,0.5614065843763261
23,Exp_13_300,300,Natural_C,0.4891589571299863
24,Exp_1_300,300,Natural_C,0.46579862593889426
25,Exp_25_300,300,Natural_C,0.5095964578910659
26,Exp_11_300,300,Natural_C,0.4148472204762068
27,Exp_4_300,300,Natural_C,0.4934536652828178
28,Exp_15_300,300,Natural_C,0.6838749818282895
29,Exp_21_300,300,Natural_C,0.6393654849379321
30,Exp_22_300,300,Natural_C,0.6714835949797106
31,Exp_8_300,300,Natural_C,0.5585627715098387
32,Exp_23_300,300,Natural_C,0.6062964573494
33,Exp_30_300,300,Natural_C,0.536402231849863
34,Exp_14_300,300,Natural_C,0.6316263395160784
35,Exp_34_400,400,Natural_C,0.663093843965694
36,Exp_33_400,400,Natural_C,0.44702457563323345
37,Exp_31_400,400,Natural_C,0.4219511289183265
38,Exp_32_400,400,Natural_C,0.5670210036930343
39,Exp_20_400,400,Natural_C,0.659416593574878
40,Exp_6_400,400,Natural_C,0.5140976705019085
41,Exp_26_400,400,Natural_C,0.6692034526137193
42,Exp_19_400,400,Natural_C,0.4751114396991737
43,Exp_24_400,400,Natural_C,0.5296520140617017
44,Exp_16_400,400,Natural_C,0.5635457171853595
45,Exp_29_400,400,Natural_C,0.48809995496405734
46,Exp_12_400,400,Natural_C,0.5870219443710385
47,Exp_2_400,400,Natural_C,0.4911347548668688
48,Exp_9_400,400,Natural_C,0.4325225451356062
49,Exp_5_400,400,Natural_C,0.5548371761988453
50,Exp_10_400,400,Natural_C,0.4832920734882704
51,Exp_3_400,400,Natural_C,0.5485340717423628
52,Exp_17_400,400,Natural_C,0.6036586560923554
53,Exp_18_400,400,Natural_C,0.615685994685126
54,Exp_0_400,400,Natural_C,0.46106978203412485
55,Exp_7_400,400,Natural_C,0.6716293495528841
56,Exp_28_400,400,Natural_C,0.6252088676905746
57,Exp_27_400,400,Natural_C,0.6069124822858226
58,Exp_13_400,400,Natural_C,0.6506788668166029
59,Exp_1_400,400,Natural_C,0.5469743053282347
60,Exp_25_400,400,Natural_C,0.6363695686861288
61,Exp_11_400,400,Natural_C,0.42233426813304625
62,Exp_4_400,400,Natural_C,0.5377679100877163
63,Exp_15_400,400,Natural_C,0.515663787363776
64,Exp_21_400,400,Natural_C,0.3910001037460763
