,Experiment,Level,algorithm,BAS
0,Exp_34_300,0,Natural_C,0.9653882132834425
1,Exp_34_300,1,Natural_C,0.8849401462947399
2,Exp_34_300,2,Natural_C,0.8534346390144878
3,Exp_34_300,3,Natural_C,0.5
4,Exp_33_300,0,Natural_C,0.985627566505981
5,Exp_33_300,1,Natural_C,0.9241233952864534
6,Exp_33_300,2,Natural_C,0.87487160097108
7,Exp_33_300,3,Natural_C,1.0
8,Exp_31_300,0,Natural_C,0.969483275087369
9,Exp_31_300,1,Natural_C,0.7742416856478925
10,Exp_31_300,2,Natural_C,0.9098870407362534
11,Exp_31_300,3,Natural_C,1.0
12,Exp_32_300,0,Natural_C,0.9618652278633313
13,Exp_32_300,1,Natural_C,0.9146362999830989
14,Exp_32_300,2,Natural_C,0.8417586088505757
15,Exp_32_300,3,Natural_C,1.0
16,Exp_20_300,0,Natural_C,0.9786410192355733
17,Exp_20_300,1,Natural_C,0.9249136564798757
18,Exp_20_300,2,Natural_C,0.912799916966031
19,Exp_20_300,3,Natural_C,1.0
20,Exp_6_300,0,Natural_C,0.9747172322022621
21,Exp_6_300,1,Natural_C,0.878647073310894
22,Exp_6_300,2,Natural_C,0.8652181205174603
23,Exp_6_300,3,Natural_C,0.5
24,Exp_26_300,0,Natural_C,0.9599464329194058
25,Exp_26_300,1,Natural_C,0.9286772629310345
26,Exp_26_300,2,Natural_C,0.9006210243294642
27,Exp_26_300,3,Natural_C,0.5
28,Exp_19_300,0,Natural_C,0.9730625180063383
29,Exp_19_300,1,Natural_C,0.8643400452079286
30,Exp_19_300,2,Natural_C,0.871425598170437
31,Exp_19_300,3,Natural_C,1.0
32,Exp_24_300,0,Natural_C,0.9653766581477425
33,Exp_24_300,1,Natural_C,0.8106272529908534
34,Exp_24_300,2,Natural_C,0.8523100950449165
35,Exp_24_300,3,Natural_C,0.5
36,Exp_16_300,0,Natural_C,0.9814224317205047
37,Exp_16_300,1,Natural_C,0.9191956563654209
38,Exp_16_300,2,Natural_C,0.8268327672803704
39,Exp_16_300,3,Natural_C,1.0
40,Exp_29_300,0,Natural_C,0.9509640957446808
41,Exp_29_300,1,Natural_C,0.883712624424806
42,Exp_29_300,2,Natural_C,0.9121615681408766
43,Exp_29_300,3,Natural_C,1.0
44,Exp_12_300,0,Natural_C,0.9719222462203023
45,Exp_12_300,1,Natural_C,0.956953146947101
46,Exp_12_300,2,Natural_C,0.8142422830903961
47,Exp_12_300,3,Natural_C,1.0
48,Exp_2_300,0,Natural_C,0.9660722381743994
49,Exp_2_300,1,Natural_C,0.8996759923003548
50,Exp_2_300,2,Natural_C,0.8772382792501365
51,Exp_2_300,3,Natural_C,1.0
52,Exp_9_300,0,Natural_C,0.9624289477332594
53,Exp_9_300,1,Natural_C,0.9015688640820636
54,Exp_9_300,2,Natural_C,0.8645201892048915
55,Exp_9_300,3,Natural_C,0.5
56,Exp_5_300,0,Natural_C,0.9539649720262711
57,Exp_5_300,1,Natural_C,0.8821650747961756
58,Exp_5_300,2,Natural_C,0.9127848832481628
59,Exp_5_300,3,Natural_C,1.0
60,Exp_10_300,0,Natural_C,0.9757662152530292
61,Exp_10_300,1,Natural_C,0.9625663038152653
62,Exp_10_300,2,Natural_C,0.9065612901822611
63,Exp_10_300,3,Natural_C,1.0
64,Exp_3_300,0,Natural_C,0.982392667631452
65,Exp_3_300,1,Natural_C,0.9260151497156128
66,Exp_3_300,2,Natural_C,0.8686492235250628
67,Exp_3_300,3,Natural_C,0.5
68,Exp_17_300,0,Natural_C,0.9736562218767897
69,Exp_17_300,1,Natural_C,0.9131024228111606
70,Exp_17_300,2,Natural_C,0.9068817028365734
71,Exp_17_300,3,Natural_C,1.0
72,Exp_18_300,0,Natural_C,0.9849608730266608
73,Exp_18_300,1,Natural_C,0.7371906043390146
74,Exp_18_300,2,Natural_C,0.8266936398120336
75,Exp_18_300,3,Natural_C,1.0
76,Exp_0_300,0,Natural_C,0.9924999999999999
77,Exp_0_300,1,Natural_C,0.9450492318139376
78,Exp_0_300,2,Natural_C,0.915628321478211
79,Exp_0_300,3,Natural_C,1.0
80,Exp_7_300,0,Natural_C,0.9716900063861547
81,Exp_7_300,1,Natural_C,0.7759428838341046
82,Exp_7_300,2,Natural_C,0.8689337234621666
83,Exp_7_300,3,Natural_C,1.0
84,Exp_28_300,0,Natural_C,0.9477522477522478
85,Exp_28_300,1,Natural_C,0.9047825248716147
86,Exp_28_300,2,Natural_C,0.8148275180504365
87,Exp_28_300,3,Natural_C,1.0
88,Exp_27_300,0,Natural_C,0.9684075707983493
