,Experiment,Level,algorithm,SSM
0,Exp_6_300,0,Natural,0.8268825187195549
1,Exp_6_300,1,Natural,0.0604480834329948
2,Exp_6_300,2,Natural,0.0362348671431886
3,Exp_6_300,3,Natural,0.031035537261337
0,Exp_15_300,0,Natural,0.7641268747654759
1,Exp_15_300,1,Natural,0.0035981650474095
2,Exp_15_300,2,Natural,0.0035564262449507
3,Exp_15_300,3,Natural,0.0002715008130337
0,Exp_22_300,0,Natural,0.8384094283878508
1,Exp_22_300,1,Natural,4.409201074065919e-08
2,Exp_22_300,2,Natural,0.0042976634846005
3,Exp_22_300,3,Natural,0.0003055112004827
0,Exp_19_300,0,Natural,0.7436269336324413
1,Exp_19_300,1,Natural,0.2409310520925371
2,Exp_19_300,2,Natural,0.0291674741905745
3,Exp_19_300,3,Natural,0.0401471913576119
0,Exp_2_300,0,Natural,0.8338567310352168
1,Exp_2_300,1,Natural,0.0025458090975044
2,Exp_2_300,2,Natural,0.0026770676220787
3,Exp_2_300,3,Natural,0.0008853961506279
0,Exp_27_300,0,Natural,0.8449612758035249
1,Exp_27_300,1,Natural,0.0003946687893621
2,Exp_27_300,2,Natural,7.358129470049963e-05
3,Exp_27_300,3,Natural,0.0004214321275967
0,Exp_34_300,0,Natural,0.837650001203558
1,Exp_34_300,1,Natural,0.0139819995590687
2,Exp_34_300,2,Natural,0.007802411352831
3,Exp_34_300,3,Natural,0.002431155297783
0,Exp_3_300,0,Natural,0.7524836544314231
1,Exp_3_300,1,Natural,0.0021430085752791
2,Exp_3_300,2,Natural,0.003536418782293
3,Exp_3_300,3,Natural,0.0021664377923087
0,Exp_28_300,0,Natural,0.7616615557717971
1,Exp_28_300,1,Natural,0.0
2,Exp_28_300,2,Natural,0.013016723702177
3,Exp_28_300,3,Natural,0.0004782153325333
0,Exp_14_300,0,Natural,0.7828769708258815
1,Exp_14_300,1,Natural,8.474038720574336e-06
2,Exp_14_300,2,Natural,0.0004792623948852
3,Exp_14_300,3,Natural,0.0037713256351922
