,Experiment,Level,algorithm,SSM
0,Exp_31_400,0,Natural,0.8414106236577199
1,Exp_31_400,1,Natural,3.118175819643275e-05
2,Exp_31_400,2,Natural,0.0205385589032513
0,Exp_32_400,0,Natural,0.7963317910946325
1,Exp_32_400,1,Natural,0.4761554278716192
2,Exp_32_400,2,Natural,0.4421046443855139
0,Exp_20_400,0,Natural,0.8354873712141377
1,Exp_20_400,1,Natural,0.1835463617919699
2,Exp_20_400,2,Natural,0.1219617481277868
0,Exp_6_400,0,Natural,0.7952891648348527
1,Exp_6_400,1,Natural,0.4414929097690357
2,Exp_6_400,2,Natural,0.0943200155447775
0,Exp_26_400,0,Natural,0.8685296613171357
1,Exp_26_400,1,Natural,0.0
2,Exp_26_400,2,Natural,0.1735873701278137
0,Exp_19_400,0,Natural,0.7957919039674411
1,Exp_19_400,1,Natural,0.2169090456984476
2,Exp_19_400,2,Natural,0.1857679377403073
0,Exp_24_400,0,Natural,0.8141101909674862
1,Exp_24_400,1,Natural,0.4687164907108531
2,Exp_24_400,2,Natural,0.4433817734012616
0,Exp_16_400,0,Natural,0.7653356054159459
1,Exp_16_400,1,Natural,0.4011675178424438
2,Exp_16_400,2,Natural,0.3476842501274321
0,Exp_29_400,0,Natural,0.7999851490128387
1,Exp_29_400,1,Natural,0.2577658268816014
2,Exp_29_400,2,Natural,0.2190177606900412
0,Exp_12_400,0,Natural,0.8118435756036804
1,Exp_12_400,1,Natural,2.191568424732021e-06
2,Exp_12_400,2,Natural,0.1057929404086557
0,Exp_2_400,0,Natural,0.7275844357363515
1,Exp_2_400,1,Natural,0.2302882128132566
2,Exp_2_400,2,Natural,0.2275350171130358
0,Exp_9_400,0,Natural,0.752513287060137
1,Exp_9_400,1,Natural,0.0009007299243609
2,Exp_9_400,2,Natural,0.039246333682817
0,Exp_5_400,0,Natural,0.7755330801584579
1,Exp_5_400,1,Natural,0.3194078639332582
2,Exp_5_400,2,Natural,0.2007564978242452
0,Exp_10_400,0,Natural,0.8567854356222652
1,Exp_10_400,1,Natural,0.310081520094508
2,Exp_10_400,2,Natural,0.1770391637729923
0,Exp_3_400,0,Natural,0.7928462148507308
1,Exp_3_400,1,Natural,0.3391870280979472
2,Exp_3_400,2,Natural,0.0863120309804958
0,Exp_17_400,0,Natural,0.8129023855618805
1,Exp_17_400,1,Natural,0.5213838704563563
2,Exp_17_400,2,Natural,0.3643985603462329
0,Exp_18_400,0,Natural,0.8263145272384027
1,Exp_18_400,1,Natural,0.3935688042992833
2,Exp_18_400,2,Natural,0.4649912975083318
0,Exp_0_400,0,Natural,0.7872175813807266
1,Exp_0_400,1,Natural,0.000345187921501
2,Exp_0_400,2,Natural,0.0125252505913954
0,Exp_7_400,0,Natural,0.821648590303968
1,Exp_7_400,1,Natural,0.0001954741194757
2,Exp_7_400,2,Natural,0.0008708024433182
0,Exp_28_400,0,Natural,0.8219840786732915
1,Exp_28_400,1,Natural,0.000116234430234
2,Exp_28_400,2,Natural,0.001989017341542
0,Exp_27_400,0,Natural,0.7308098215645036
1,Exp_27_400,1,Natural,0.0019383986660437
2,Exp_27_400,2,Natural,0.2031267456684834
0,Exp_13_400,0,Natural,0.8152572721407964
1,Exp_13_400,1,Natural,0.7810204558856206
2,Exp_13_400,2,Natural,0.423199091857145
0,Exp_1_400,0,Natural,0.8200257166223842
1,Exp_1_400,1,Natural,0.1910560490422032
2,Exp_1_400,2,Natural,0.2349752352843449
0,Exp_25_400,0,Natural,0.8347971006734067
1,Exp_25_400,1,Natural,0.0006682075889022
2,Exp_25_400,2,Natural,0.0629784292060495
0,Exp_11_400,0,Natural,0.7965160823851655
1,Exp_11_400,1,Natural,0.1893285292895928
2,Exp_11_400,2,Natural,0.1113265366017404
0,Exp_4_400,0,Natural,0.8814192569432299
1,Exp_4_400,1,Natural,0.1630385633222659
2,Exp_4_400,2,Natural,0.0338846519255689
0,Exp_15_400,0,Natural,0.8043563377010997
1,Exp_15_400,1,Natural,7.502775310991289e-06
2,Exp_15_400,2,Natural,0.1011200821330893
0,Exp_21_400,0,Natural,0.8072937654492848
1,Exp_21_400,1,Natural,0.4003252869294885
2,Exp_21_400,2,Natural,0.1590087960593126
0,Exp_22_400,0,Natural,0.8224129368228915
1,Exp_22_400,1,Natural,3.955183175054682e-07
2,Exp_22_400,2,Natural,0.0029733751513439
